Object ID,Street Name,Street Type,CNN ID,Street Name 2,Street Type 2,Street Name 3,Street Type 3,Street Name 4,Street Type 4,Annual Pedestrian Volume,Last Edited Date,Geom
1,REY,ST,20370000,SUNNYDALE,AVE, , , , ,336571,,"(37.7108710011, -122.412294357)"
2,HURON,AVE,21553000,LAWRENCE,AVE, , , , ,230736,,"(37.7102357055, -122.451918761)"
3,CAYUGA,AVE,21582000,SICKLES,AVE, , , , ,303043,,"(37.7102121908, -122.454559953)"
4,EXECUTIVE PA,BLVD,20262000,THOMAS MELLO,DR,SANDPIPER CO,WAY, , ,237005,,"(37.7112770826, -122.392622231)"
5,NUEVA,AVE,20271000,BLANKEN,AVE, , , , ,190378,,"(37.7112043358, -122.397356924)"
6,UNNAMED PRIV,0,54114000,CRESCENT,CT,CRESCENT,WAY, , ,159589,,"(37.7113422817, -122.389005345)"
7,CHICAGO,WAY,21384000,SOUTH HILL,BLVD, , , , ,222618,,"(37.7106627988, -122.431379022)"
8,GARRISON,AVE,20377000,SUNNYDALE,AVE, , , , ,373177,,"(37.7110411079, -122.412900646)"
9,LELAND,AVE,20313000,BAY SHORE,BLVD, , , , ,3396426,,"(37.7111935128, -122.403663313)"
10,EXECUTIVE PA,BLVD,54206000,CANDLESTICK,WAY, , , , ,409867,,"(37.7113519837, -122.394024311)"
11,PALMETTO,AVE,52044000,DE LONG,ST, , , , ,212785,,"(37.7101730699, -122.466213205)"
12,BRUNSWICK,ST,21494000,GUTTENBERG,ST, , , , ,245052,,"(37.7105595175, -122.443348581)"
13,CRYSTAL,ST,22480000,ALEMANY,BLVD,PALMETTO,AVE, , ,204058,,"(37.7103270188, -122.460495568)"
14,STONERIDGE,LN,54065000,GENEVA,AVE, , , , ,425325,,"(37.7109259724, -122.426215118)"
15,MUNICH,ST,21420000,DRAKE,ST, , , , ,133564,,"(37.7107506463, -122.437006015)"
16,INGERSON,AVE,51948000,BOALT,ST, , , , ,55916,,"(37.7116835631, -122.379922909)"
17,PRAGUE,ST,21390000,NAYLOR,ST, , , , ,277172,,"(37.7108187249, -122.433613049)"
18,TOCOLOMA,AVE,20274000,BLANKEN,AVE, , , , ,175169,,"(37.7114091961, -122.398217661)"
19,ALEMANY,BLVD,21589000,SICKLES,AVE, , , , ,972281,,"(37.7104834901, -122.454898339)"
20,ORIZABA,AVE,52048000,PALMETTO,AVE, , , , ,168707,,"(37.71039338, -122.462572857)"
21,CURTIS,ST,21422000,NAPLES,ST, , , , ,148944,,"(37.7107961593, -122.438623594)"
22,FARRAGUT,AVE,21544000,RAE,AVE, , , , ,284669,,"(37.7106141661, -122.45015131)"
23,BRUNSWICK,ST,21468000,FLORENTINE,AVE, , , , ,359807,,"(37.7107693577, -122.442713279)"
24,OLYMPIC COUN,RD,54170000,SKYLINE,BLVD, , , , ,260201,,"(37.7098922353, -122.498050113)"
25,LAURA,ST,21556000,HURON,AVE, , , , ,232922,,"(37.7106756225, -122.451357446)"
26,MISSION,ST,21540000,WHIPPLE,AVE, , , , ,328169,,"(37.71075346, -122.447685655)"
27,HEAD,ST,52045000,PALMETTO,AVE, , , , ,91929,,"(37.7104790204, -122.464372828)"
28,I-280 SOUTHB,0,52137000,I-280 S OFF,RAMP, , , , ,193006,,"(37.7104864382, -122.464779912)"
29,DE WOLF,ST,33440000,ALEMANY,BLVD, , , , ,230883,,"(37.710689571, -122.454423959)"
30,RUTLAND,ST,20349000,VISITACION,AVE, , , , ,316899,,"(37.711452701, -122.407940354)"
31,SEARS,ST,21580000,LAWRENCE,AVE, , , , ,211989,,"(37.7107354884, -122.452543109)"
32,PENINSULA,AVE,20282000,BLANKEN,AVE, , , , ,122141,,"(37.7116138723, -122.399077656)"
33,SICKLES,AVE,33438000,ALEMANY,BLVD, , , , ,332892,,"(37.7107015982, -122.455171041)"
34,BRUNSWICK,ST,21466000,CONCORD,ST, , , , ,170652,,"(37.7109490055, -122.442169376)"
35,SEAL COVE,TER,54207000,CANDLESTICK,WAY, , , , ,424832,,"(37.7117337477, -122.393993497)"
36,BLYTHDALE,AVE,20431000,BROOKDALE,AVE, , , , ,171344,,"(37.7113216324, -122.422254039)"
37,DESMOND,ST,20315000,LELAND,AVE, , , , ,1202144,,"(37.7116155222, -122.404816621)"
38,ALEMANY,BLVD,22528000,PALMETTO,AVE,SAINT CHARLE,AVE, , ,252229,,"(37.7105983743, -122.469301675)"
39,MUNICH,ST,21424000,NAPLES,ST, , , , ,150392,,"(37.7111380675, -122.438383331)"
40,OCEANVIEW,TER,22517000,RAMSELL,ST,PALMETTO,AVE,WORCESTER,AVE,84985,,"(37.7106871891, -122.46617391)"
41,MORSE,ST,21501000,LOWELL,ST, , , , ,277003,,"(37.7110442199, -122.44618135)"
42,CHESTER,AVE,22534000,PALMETTO,AVE, , , , ,250175,,"(37.7106583176, -122.470434918)"
43,WHEELER,AVE,20285000,BLANKEN,AVE, , , , ,199306,,"(37.711819378, -122.399941165)"
44,HEAD,ST,22509000,PALMETTO,AVE, , , , ,33455,,"(37.7107735238, -122.464375997)"
45,BRIGHT,ST,52046000,PALMETTO,AVE, , , , ,6708,,"(37.7107884741, -122.463479423)"
46,PALMETTO,AVE,52047000,ORIZABA,AVE, , , , ,6838,,"(37.7108035272, -122.462576236)"
47,PALMETTO,AVE,22512000,VICTORIA,ST, , , , ,217985,,"(37.7107700029, -122.465271874)"
48,PELICAN COVE,TER,54208000,CANDLESTICK,WAY, , , , ,425109,,"(37.7119633514, -122.393974964)"
49,BAY SHORE,BLVD,33683000,RAYMOND,AVE, , , , ,992579,,"(37.7118226788, -122.403292831)"
50,ALLISON,ST,21454000,BRUNSWICK,ST, , , , ,206382,,"(37.711216094, -122.44114348)"
51,SAWYER,ST,20407000,SUNNYDALE,AVE, , , , ,320260,,"(37.7116599729, -122.415093754)"
52,ELLINGTON,AVE,21539000,WHIPPLE,AVE, , , , ,247676,,"(37.7111213891, -122.448142931)"
53,MUNICH,ST,21394000,NAYLOR,ST, , , , ,281778,,"(37.7113729167, -122.434195904)"
