Project ID,Project Status,Project Name,Project Address,Project Sponsor,Total Units,Total Beds,Affordable Units,Affordable Beds,Single Room Occupancy Units,Studio Units,1 Bedroom Units,2 Bedroom Units,3 Bedroom Units,4 Bedroom Units,5 Bedroom or Larger Units,Units at 20% AMI,Units at 30% AMI,Units at 50% AMI,Units at 60% AMI,Units at 80% AMI,Units at 120% AMI,Units Greater Than 120% AMI,LOSP Units,LOSP Funder,Neighborhood,Supervisor District,Project Location
1,Operational,Asian Women's Shelter,"0 Confidential, San Francisco, CA 00000",Mei Fong And Associates,5,16,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,, , ,
2,Operational,Brennan House,"0 Confidential, San Francisco, CA 00000",St. Vincent De Paul Society,15,0,15,0,15,0,0,0,0,0,0,0,0,3,12,0,0,0,0,, , ,
3,Operational,Mercy Family Plaza,"1509 Hayes St, San Francisco, CA 94117",Mercy Housing California,36,0,22,0,0,3,6,8,5,0,0,0,0,0,0,22,0,0,0,,Lone Mountain/USF,5,"(37.774496, -122.441288)"
5,Operational,Market Heights,"1000 Tompkins Ave, San Francisco, CA 94110",Bernal Heights Neighborhood Center,46,0,45,0,0,0,6,16,22,1,0,0,0,22,23,0,0,0,0,,Bernal Heights,9,"(37.736843, -122.410377)"
6,Operational,San Cristina,"1000 Market St, San Francisco, CA 94102",Community Housing Partnership,58,0,58,0,58,0,0,0,0,0,0,0,0,0,0,58,0,0,0,,Tenderloin,6,"(37.782277, -122.410379)"
9,Operational,Juan Pifarre Plaza,"1010 South Van Ness, San Francisco, CA 94110",Mission Housing Development Corporation,30,0,29,0,0,0,3,8,14,4,0,0,0,14,15,0,0,0,0,,Mission,9,"(37.757115, -122.41676)"
10,Operational,Hotel Parkview,"102 South Park, San Francisco, CA 94107",Mission Housing Development Corporation,40,0,40,0,36,4,0,0,0,0,0,0,32,8,0,0,0,0,0,,Financial District,6,"(37.781481, -122.393912)"
11,Operational,Veterans Academy,"1030 Girard Rd, San Francisco, CA 94129",Swords To Plowshares,108,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,,Presidio,2,"(37.801983, -122.453058)"
12,Operational,Mary Elizabeth Inn,"1040 Bush St, San Francisco, CA 94109",Mary Elizabeth Inn,92,0,88,0,88,0,0,0,0,0,0,0,30,58,0,0,0,0,0,,Nob Hill,3,"(37.789502, -122.414432)"
13,Operational,Abel Gonzales Apartments,"1045 Capp St, San Francisco, CA 94110",Mission Housing Development Corporation,30,0,30,0,0,9,21,0,0,0,0,0,0,30,0,0,0,0,0,,Mission,9,"(37.749992, -122.417076)"
19,Operational,Gran Oriente Filipino,"106 South Park, San Francisco, CA 94107",Gran Oriente Filipino,24,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Financial District,6,"(37.781458, -122.393941)"
