GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US060750101001,060750101001,"Block Group 1, Census Tract 101, San Francisco County, California",962,333
1500000US060750101002,060750101002,"Block Group 2, Census Tract 101, San Francisco County, California",2836,345
1500000US060750102001,060750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1113,273
1500000US060750102002,060750102002,"Block Group 2, Census Tract 102, San Francisco County, California",1918,315
1500000US060750102003,060750102003,"Block Group 3, Census Tract 102, San Francisco County, California",1141,330
1500000US060750103001,060750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1965,386
1500000US060750103002,060750103002,"Block Group 2, Census Tract 103, San Francisco County, California",1235,342
1500000US060750103003,060750103003,"Block Group 3, Census Tract 103, San Francisco County, California",1187,397
1500000US060750104001,060750104001,"Block Group 1, Census Tract 104, San Francisco County, California",865,323
1500000US060750104002,060750104002,"Block Group 2, Census Tract 104, San Francisco County, California",1455,378
1500000US060750104003,060750104003,"Block Group 3, Census Tract 104, San Francisco County, California",1624,373
1500000US060750104004,060750104004,"Block Group 4, Census Tract 104, San Francisco County, California",1204,391
1500000US060750105001,060750105001,"Block Group 1, Census Tract 105, San Francisco County, California",1046,204
1500000US060750105002,060750105002,"Block Group 2, Census Tract 105, San Francisco County, California",1543,214
1500000US060750106001,060750106001,"Block Group 1, Census Tract 106, San Francisco County, California",1052,253
1500000US060750106002,060750106002,"Block Group 2, Census Tract 106, San Francisco County, California",1382,355
1500000US060750106003,060750106003,"Block Group 3, Census Tract 106, San Francisco County, California",1170,229
1500000US060750107001,060750107001,"Block Group 1, Census Tract 107, San Francisco County, California",972,242
1500000US060750107002,060750107002,"Block Group 2, Census Tract 107, San Francisco County, California",1332,468
1500000US060750107003,060750107003,"Block Group 3, Census Tract 107, San Francisco County, California",1806,496
1500000US060750107004,060750107004,"Block Group 4, Census Tract 107, San Francisco County, California",1192,323
1500000US060750108001,060750108001,"Block Group 1, Census Tract 108, San Francisco County, California",1243,378
1500000US060750108002,060750108002,"Block Group 2, Census Tract 108, San Francisco County, California",1613,422
1500000US060750108003,060750108003,"Block Group 3, Census Tract 108, San Francisco County, California",2209,436
1500000US060750109001,060750109001,"Block Group 1, Census Tract 109, San Francisco County, California",836,228
1500000US060750109002,060750109002,"Block Group 2, Census Tract 109, San Francisco County, California",1995,430
1500000US060750109003,060750109003,"Block Group 3, Census Tract 109, San Francisco County, California",1704,345
1500000US060750110001,060750110001,"Block Group 1, Census Tract 110, San Francisco County, California",777,388
